ID,"County
Number","District
Number","School
Number",County Name,District Name,School Name,"Grade
12","Number
Tested","Percent
Tested",V_Mean,M_Mean,W_Mean,Tot_Mean,GE1500Ct,Rate1500,Latitude,Longitude,,,,,,,
0,1,110017,109835,Alameda,Alameda County Office of Educa,"FAME Public Charter, CA",75,27,36,501,467,526,1494,12,44.44,37.521475,-121.99385,,,,,,,
1,1,110017,112607,Alameda,Alameda County Office of Educa,"Envision Academy for Arts & Te, CA",59,50,84.75,392,388,397,1178,6,12,36.778261,-119.417932,,,,,,,
2,1,110017,118489,Alameda,Alameda County Office of Educa,"Aspire California College Preparato, CA",53,,,,,,,,,37.869222,-122.278003,,,,,,,
3,1,110017,130401,Alameda,Alameda County Office of Education,"Alameda County Juvenile Hall/Court, CA",67,,,,,,,,,37.715958,-122.118313,,,,,,,
4,1,110017,130419,Alameda,Alameda County Office of Educa,"Alameda County Community, CA",34,,,,,,,,,37.658296,-122.097766,,,,,,,
5,1,110017,130427,Alameda,Alameda County Office of Education,"Alameda County Opportunity, CA",16,,,,,,,,,37.640319,-118.969239,,,,,,,
6,1,131617,131763,Alameda,California School for the Deaf,"California School for the Deaf, CA",53,,,,,,,,,37.559156,-121.963192,,,,,,,
7,1,161119,106401,Alameda,Alameda City Unified,"Alameda Science and Technology, CA",41,37,90.24,512,547,508,1567,21,56.76,37.781419,-122.280649,,,,,,,
8,1,161119,119222,Alameda,Alameda Unified,"NEA COMMUNITY LEARNING CENTER, CA",7,7,100,,,,,,,37.775774,-122.281366,,,,,,,
9,1,161119,130229,Alameda,Alameda City Unified,"Alameda High, CA",472,345,73.09,540,576,540,1656,240,69.57,37.758658,-122.231488,,,,,,,
10,1,161119,130609,Alameda,Alameda City Unified,"Alameda Community Learning Cen, CA",18,14,77.78,539,518,530,1586,10,71.43,37.772222,-122.289722,,,,,,,
11,1,161119,130625,Alameda,Alameda City Unified,"Bay Area School of Enterprise, CA",30,24,80,362,355,381,1098,1,4.17,37.779268,-122.286954,,,,,,,
12,1,161119,132878,Alameda,Alameda City Unified,"Encinal High, CA",245,114,46.53,477,512,478,1466,50,43.86,37.771498,-122.289677,,,,,,,
13,1,161119,134304,Alameda,Alameda City Unified,"Island High (Continuation), CA",137,,,,,,,,,37.779466,-122.286501,,,,,,,
14,1,161127,130294,Alameda,Albany City Unified,"MacGregor High (Continuation), CA",17,,,,,,,,,37.897301,-122.294407,,,,,,,
15,1,161127,130450,Alameda,Albany City Unified,"Albany High, CA",291,202,69.42,576,608,569,1752,166,82.18,37.888724,-122.263231,,,,,,,
16,1,161143,131177,Alameda,Berkeley Unified,"Berkeley High, CA",792,498,62.88,555,560,553,1669,333,66.87,37.888724,-122.263231,,,,,,,
